1,100,qTimes, 1.035, 3.739, 5.998, 10.912, svcTimes, 2.233, 5.476, 6.468, 7.432, sjrnTimes, 3.268, 6.876, 8.684, 13.359
1,200,qTimes, 1.656, 5.767, 9.151, 20.365, svcTimes, 2.151, 5.405, 6.369, 7.360, sjrnTimes, 3.806, 8.152, 11.926, 24.334
1,300,qTimes, 2.798, 9.053, 13.782, 26.082, svcTimes, 2.071, 5.337, 6.266, 7.409, sjrnTimes, 4.869, 11.182, 16.000, 28.702
1,400,qTimes, 5.610, 17.424, 25.755, 38.608, svcTimes, 2.008, 5.248, 6.178, 6.949, sjrnTimes, 7.617, 19.542, 27.976, 39.944
1,500,qTimes, 46.254, 125.640, 137.230, 149.458, svcTimes, 1.949, 5.187, 6.123, 6.710, sjrnTimes, 48.203, 127.433, 139.251, 150.968
1,600,qTimes, 1058.588, 1781.761, 1887.512, 1913.598, svcTimes, 1.940, 5.190, 6.112, 6.725, sjrnTimes, 1060.528, 1782.587, 1889.655, 1919.664
1,700,qTimes, 2485.969, 4191.602, 4387.675, 4435.344, svcTimes, 2.061, 5.534, 6.549, 7.248, sjrnTimes, 2488.030, 4193.925, 4390.120, 4441.829
1,800,qTimes, 2714.054, 4574.273, 4780.925, 4831.035, svcTimes, 1.938, 5.181, 6.121, 6.711, sjrnTimes, 2715.992, 4576.596, 4783.492, 4837.098
1,900,qTimes, 3252.252, 5480.889, 5720.283, 5778.548, svcTimes, 1.933, 5.173, 6.091, 6.692, sjrnTimes, 3254.185, 5482.902, 5721.994, 5783.991
1,1000,qTimes, 3712.772, 6258.132, 6526.156, 6591.142, svcTimes, 1.938, 5.180, 6.113, 6.702, sjrnTimes, 3714.710, 6260.612, 6527.473, 6595.860
1,1100,qTimes, 4090.336, 6895.017, 7186.400, 7257.816, svcTimes, 1.942, 5.196, 6.122, 6.735, sjrnTimes, 4092.278, 6897.754, 7188.158, 7262.192
1,1200,qTimes, 4358.330, 7346.976, 7654.709, 7730.038, svcTimes, 1.933, 5.169, 6.094, 6.748, sjrnTimes, 4360.263, 7349.591, 7655.743, 7733.925
1,1300,qTimes, 4610.016, 7769.450, 8092.747, 8172.079, svcTimes, 1.931, 5.168, 6.092, 6.705, sjrnTimes, 4611.948, 7771.169, 8093.975, 8175.617
1,1400,qTimes, 4853.490, 8181.265, 8519.574, 8602.633, svcTimes, 1.938, 5.187, 6.110, 6.758, sjrnTimes, 4855.428, 8183.028, 8520.608, 8605.299
1,1500,qTimes, 5045.343, 8504.991, 8854.819, 8941.255, svcTimes, 1.938, 5.189, 6.121, 6.709, sjrnTimes, 5047.281, 8507.212, 8856.181, 8943.566
1,1600,qTimes, 5211.322, 8782.106, 9141.955, 9231.002, svcTimes, 1.938, 5.186, 6.121, 6.712, sjrnTimes, 5213.260, 8784.368, 9143.653, 9233.140
1,1700,qTimes, 5348.486, 9016.523, 9385.291, 9476.102, svcTimes, 1.936, 5.180, 6.109, 6.702, sjrnTimes, 5350.422, 9018.351, 9386.548, 9478.057
1,1800,qTimes, 5485.444, 9241.091, 9617.553, 9711.233, svcTimes, 1.936, 5.179, 6.114, 6.834, sjrnTimes, 5487.380, 9243.071, 9618.584, 9712.729
1,1900,qTimes, 5607.839, 9449.094, 9833.849, 9929.116, svcTimes, 1.938, 5.183, 6.119, 6.711, sjrnTimes, 5609.776, 9451.436, 9834.882, 9930.414
2,100,qTimes, 0.602, 0.647, 1.327, 5.113, svcTimes, 2.279, 5.600, 6.497, 7.397, sjrnTimes, 2.881, 6.205, 7.111, 8.382
2,200,qTimes, 0.613, 1.026, 2.618, 5.282, svcTimes, 2.231, 5.540, 6.561, 7.351, sjrnTimes, 2.845, 6.179, 7.246, 9.332
2,300,qTimes, 0.700, 1.797, 3.745, 7.238, svcTimes, 2.189, 5.472, 6.487, 7.420, sjrnTimes, 2.888, 6.284, 7.412, 13.288
2,400,qTimes, 0.844, 2.588, 4.693, 10.078, svcTimes, 2.155, 5.509, 6.445, 7.423, sjrnTimes, 2.999, 6.514, 7.820, 15.399
2,500,qTimes, 1.068, 3.627, 5.941, 11.938, svcTimes, 2.135, 5.459, 6.468, 7.476, sjrnTimes, 3.204, 6.886, 9.034, 16.357
2,600,qTimes, 1.411, 4.849, 7.091, 13.933, svcTimes, 2.105, 5.440, 6.417, 7.419, sjrnTimes, 3.515, 7.543, 10.334, 18.435
2,700,qTimes, 2.038, 7.004, 9.867, 16.832, svcTimes, 2.080, 5.417, 6.436, 7.407, sjrnTimes, 4.118, 9.404, 12.923, 20.904
